,L,alpha,beta,final_F,final_buffer,final_n_inputs_attempted,final_n_inputs_needed,init_F,init_buffer,init_n_inputs_attempted,init_n_inputs_needed,max_F,mean_F,min_F,n_agents,n_steps,r,std_F,xi
0,1,0.15,0.4,0.8140000000000001,1,3,2,0.7,1,2,1,0.8740000000000001,0.8403794150000001,0.7,1000,200000,1,0.01887239860902092,0
1,1,0.15,0.4,0.905,1,4,3,0.7,1,2,1,0.934,0.8006129750000003,0.228,1000,200000,2000,0.1602653941643341,1
2,1,0.15,0.4,0.8140000000000001,1,3,2,0.7,1,2,1,0.8740000000000001,0.8403794150000001,0.7,1000,200000,1,0.01887239860902092,0
3,1,0.15,0.4,0.905,1,4,3,0.7,1,2,1,0.934,0.8006129750000003,0.228,1000,200000,2000,0.1602653941643341,1
4,1,0.15,0.4,0.8420000000000001,1,3,2,0.7,1,2,1,0.885,0.8433846800000001,0.696,1000,200000,1,0.018008809546930078,0
5,1,0.15,0.4,0.767,1,3,2,0.7,1,2,1,0.934,0.768271095,0.257,1000,200000,2000,0.15463046970924252,1
6,1,0.15,0.4,0.856,1,3,2,0.7,1,2,1,0.877,0.8441263550000003,0.6990000000000001,1000,200000,1,0.02267384108204817,0
7,1,0.15,0.4,0.626,1,2,1,0.7,1,2,1,0.931,0.830831975,0.233,1000,200000,2000,0.14227956073378695,1
8,1,0.15,0.4,0.8270000000000001,1,3,2,0.7,1,2,1,0.878,0.8429935749999999,0.701,1000,200000,1,0.01584400182148989,0
9,1,0.15,0.4,0.905,1,4,3,0.7,1,2,1,0.934,0.7720758400000002,0.264,1000,200000,2000,0.15828214709276092,1
10,1,0.15,0.4,0.855,1,3,2,0.7,1,2,1,0.875,0.84292255,0.701,1000,200000,1,0.017467539938339913,0
11,1,0.15,0.4,0.675,1,2,1,0.7,1,2,1,0.936,0.8048959299999999,0.245,1000,200000,2000,0.1354700848137149,1
